id,centroid_y,centroid_x,Area,Perimeter,Height,Width,Circularity,Aspect Ratio,Roundness,Solidity
s4_001,2806.439649681529,4727.697770700637,6280.0,405.76450198781714,128.0,105.0,0.4793154266894882,1.4856636299060497,0.47867432752150313,0.740304137687139
s4_002,2765.0908677414463,3818.018749684136,19787.0,747.2447327281724,259.0,166.0,0.4453116868237563,1.8567105558110413,0.3809422810452361,0.719135017263311
s4_003,2629.3685859188545,2822.8318914081146,6704.0,435.56349186104046,120.0,126.0,0.4440592570404076,1.3394669433125677,0.520794580312284,0.7053872053872053
s4_004,2603.9338005637237,3926.900891292755,13127.0,613.1025971044414,202.0,148.0,0.43884286091450037,1.8656616146574914,0.378352239991629,0.7047296934557363
s4_005,2596.5200589301903,4275.493427017226,8824.0,502.43354954612926,151.0,140.0,0.4392564029317069,1.2621451642645438,0.535383437792525,0.6877094536669005
s4_006,2577.330574730178,4452.784104343847,26221.0,925.5117600329312,302.0,188.0,0.3846761240977007,2.423347175427284,0.2981747973239075,0.7013775578440551
s4_007,2528.9520219766177,2469.5075065482656,15653.0,672.2741699796952,256.0,126.0,0.4352257665962289,2.752331383110805,0.27160350870793487,0.7775570016392628
s4_008,2496.5468098898045,4694.524122603945,10799.0,542.333044482741,138.0,155.0,0.46138266301641323,1.0093616259893863,0.7168959097498436,0.7373344257817834
s4_009,2483.6044647261965,3267.689195855945,8108.0,447.60512242138304,141.0,122.0,0.5085498236951422,1.4857451355641718,0.5060407630547797,0.7531116477800484
s4_010,2480.0394052044608,2333.595043370508,8070.0,486.1492782986673,131.0,138.0,0.42908576602651954,1.0365194864515714,0.6456133125991028,0.6800370776101795
s4_011,2436.3559904787094,4163.8447500661205,7562.0,444.87720036002526,140.0,117.0,0.48013817676145526,1.5171426217138753,0.49582366709126424,0.7405013709361535
s4_012,2434.1144205729165,3140.5423177083335,6144.0,410.63455967290594,131.0,109.0,0.45787831510549937,1.459275681974782,0.4837468683519272,0.7025728987993138
s4_013,2422.4729048906365,2621.153170312116,32552.0,967.6955262170047,317.0,211.0,0.4368276038666728,1.9509877623280785,0.36331808459714593,0.7251826768846907
s4_014,2421.426884996192,3006.767961411526,7878.0,459.7056274847714,156.0,104.0,0.4684531893674786,1.951865247986112,0.3584687914382088,0.743979601473227
s4_015,2418.1253080427155,2851.4455231125385,13391.0,602.5168106668145,207.0,139.0,0.46353714009592034,2.015836549760608,0.36376192589893874,0.7500280049288675
s4_016,2397.025518558952,4283.792167030568,7328.0,493.5634918610405,173.0,108.0,0.3780152045933574,2.366858542361228,0.2659426067323997,0.640167729536123
s4_017,2321.5820949949857,4510.025708815753,10969.0,603.6467529817256,169.0,160.0,0.3782780683701794,1.4758368872497698,0.4253730074550758,0.6472913961996931
s4_018,2308.6995603321934,4045.7211529066926,10235.0,536.2914139223983,182.0,122.0,0.4471940568257338,2.086216055943173,0.33976017685664306,0.7197102876028408
s4_019,2280.3102580239142,3405.8830239144118,12712.0,563.0609665440987,160.0,151.0,0.503863507123029,1.376501485371842,0.5638494805394193,0.7851275399913532
s4_020,2239.490962413215,3120.9340435719414,16708.0,912.7838379715732,254.0,155.0,0.25199878517556573,2.5870111319899087,0.22587866259497663,0.5537033968516984
s4_021,2213.142892987078,3261.0283527788233,7971.0,517.4629867976521,150.0,132.0,0.37407965701557416,1.3953169265166225,0.43320353465642497,0.6358994814519345
s4_022,2185.4436666666666,3877.688222222222,9000.0,505.0548698896889,139.0,135.0,0.4433791304724231,1.2253109655398868,0.5988609318054724,0.708159571956881
s4_023,2175.0100764419735,2918.8187977762336,5756.0,391.37972567696687,117.0,103.0,0.47220871739305875,1.3989187733246267,0.4866399046881598,0.7233882116375518
s4_024,2171.9862604540026,2635.852688172043,8370.0,481.29751057680824,137.0,124.0,0.4540546119399471,1.193868058125089,0.6271405329884358,0.7560292656489929
s4_025,2158.0255049388174,2748.9259914492113,6783.0,394.0071426749364,133.0,91.0,0.5490646594756718,1.9233409025040515,0.44601679711082415,0.8406246127153303
s4_026,2138.2916666666665,3484.8461904761903,4200.0,323.9655121145938,89.0,94.0,0.5028767942013308,1.4142307028746668,0.4984748692888098,0.7610074288820439
s4_027,2111.746019667525,4265.682334347928,17084.0,659.4041122946064,218.0,151.0,0.49373751204694677,1.866617376626281,0.3884352260757591,0.764418989663967
s4_028,2091.6160274988206,3586.714632338074,14837.0,622.5168106668144,190.0,171.0,0.48112042364512686,1.3541124433528737,0.5471512736401745,0.7586154003476838
s4_029,2066.9449897103054,3330.562608833307,12634.0,622.9604614807105,166.0,169.0,0.40910027342767147,1.2519930016168974,0.5275215412822455,0.6725220909187692
s4_030,2031.675773020727,4500.845769622834,29430.0,973.4356415871823,278.0,263.0,0.39028839593375503,1.391579148992733,0.4959036939776879,0.659998654436994
s4_031,1982.7681110358835,4094.6544798013992,17724.0,694.4163056034262,216.0,183.0,0.46188279526129544,1.3864871476441427,0.4828858787732519,0.7110362257792755
s4_032,1973.6075593502708,3897.934089962516,9604.0,473.94826817189073,133.0,142.0,0.5372793314527785,1.106752507401459,0.6683451779129334,0.7825307585757354
s4_033,1868.8976356107235,4704.845970468254,97319.0,2030.655987697715,639.0,424.0,0.2965751710941957,2.3044552235159506,0.2517215783936903,0.5755898200228299
s4_034,1793.3509187907528,3979.470065204505,8435.0,470.91883092036784,146.0,126.0,0.47797241881638136,1.4367176210253114,0.5080669526461025,0.7362953910614525
s4_035,1752.6477940172108,3239.5072394481626,14642.0,688.5584412271571,188.0,167.0,0.3880866048575857,1.1453202288465172,0.6104029054211125,0.6984020987359886
s4_036,1724.834446397188,3777.7675454012888,8535.0,467.8061325481598,130.0,137.0,0.49009646269681933,1.2626092962825235,0.5849990146375578,0.7426905673512009
s4_037,1595.385317938997,3911.9234878511115,11606.0,585.5046173579948,155.0,161.0,0.4254335949789313,1.1791524648241134,0.5844125473219044,0.6826255734619456
s4_038,1588.2753889674682,4419.2179632248935,7070.0,448.9777054234135,136.0,117.0,0.4407372176578522,1.624266493935733,0.4291166052663452,0.705518411336194
s4_039,1541.7848731450454,3032.223073240785,10445.0,509.6639969244288,164.0,123.0,0.5053012781956139,1.6371349018911807,0.45084628626007267,0.7760606285756743
s4_040,1488.615127919911,2453.316573971079,8990.0,531.4041122946064,161.0,130.0,0.4000550287880271,1.4017672698244696,0.48838075517919305,0.686050061050061
s4_041,1485.0589556428972,2907.036309189594,10686.0,609.1198410471445,190.0,148.0,0.36192579879489145,1.7132319362066863,0.33853359684552053,0.6021978021978022
s4_042,1382.9773613232892,4288.762893114892,75932.0,1943.5849198858496,467.0,462.0,0.2525966936533067,1.2932116215864653,0.3904040767334784,0.5607934948781766
s4_043,1374.1605929586165,3341.3816656372246,19428.0,764.5584412271571,189.0,231.0,0.41765394091046815,1.1577750735872703,0.5715083291926333,0.68252239592482
s4_044,1355.0464074538613,3794.6829122618406,16743.0,866.4579361637689,253.0,220.0,0.28025164691170507,1.404280495595352,0.3618827228145757,0.507794492296494
s4_045,1312.6408815264015,2991.4308534240495,6761.0,396.45079348883235,118.0,107.0,0.5405578979796879,1.3422064073537223,0.566020391922098,0.7670751077830724
s4_046,1309.269240969607,3556.497798758818,18853.0,836.9015869776647,262.0,209.0,0.33825291563238885,1.7961461312802296,0.318609032160808,0.5845710210536107
s4_047,1264.8905811843624,3116.9973607521856,18187.0,716.6417023478424,223.0,200.0,0.44500693319180146,1.3065135279652917,0.5134711456561111,0.6963396891033004
s4_048,1248.0111707529377,4703.519657623676,6893.0,459.59902576697317,129.0,126.0,0.4100718369298922,1.2683605243475449,0.5308808764182988,0.664577709217123
s4_049,1228.7858683032011,2887.981920716537,24116.0,791.653895656662,286.0,171.0,0.48355339050053797,2.2207854270808056,0.34320263988734895,0.7781362932369644
s4_050,1189.4545155858557,4014.647254507372,24349.0,912.4995667241114,286.0,217.0,0.3674731903597503,1.8746496760080962,0.32178493189639823,0.6262763959978395
s4_051,1156.9728517539431,2624.575266581519,67334.0,1954.4621202458748,577.0,364.0,0.22150817718054422,2.9586954273935677,0.22654737530012556,0.5375882221441574
s4_052,987.1338000598761,3285.3695506989384,43423.0,1090.3818177180199,382.0,236.0,0.45895751636654,2.5178051402762067,0.32177924915877987,0.7705398019661426
s4_053,962.7281241897848,3531.149047186933,30856.0,993.5117600329311,342.0,222.0,0.39282893140172576,2.1601498670627906,0.319735182240983,0.67779632721202
s4_054,950.2107974448794,3890.2187306820524,9706.0,660.6528496361356,179.0,190.0,0.2794496215506435,1.257064499732399,0.4341202718749458,0.5132734003172924
s4_055,765.6346533750722,3704.1990699936177,32903.0,1097.7544007200504,338.0,277.0,0.3431112735993135,1.9107741635980457,0.34004900484080725,0.6036361634989359
s4_056,732.6277791939275,4148.365649871131,70614.0,2129.8996744053607,401.0,461.0,0.19560609493313086,1.4531500805240962,0.38099705147080104,0.5434145215283389
